schname,md_earn,num_search,locality,total_earning_sd,lg_md
MISERICORDIA UNIVERSITY,47500.0,312.0,sub_large,0.44258602722914664,10.768506042432708
MOORE COLLEGE OF ART AND DESIGN,30500.0,624.0,city_large,-0.960458649953428,10.32551474894327
MORAVIAN COLLEGE,50000.0,312.0,city_small,0.6489161268148194,10.819798284210286
MUHLENBERG COLLEGE,56000.0,468.0,city_mid,1.144108365820434,10.933124826700707
NEUMANN UNIVERSITY,41600.0,312.0,sub_large,-0.04435300779304101,10.635879484421974
PEIRCE COLLEGE,44700.0,468.0,city_large,0.2114963156931932,10.707751151716078
PENNSYLVANIA ACADEMY OF THE FINE ARTS,20900.0,468.0,city_large,-1.7527662323624114,9.94755228369823
PENNSYLVANIA COLLEGE OF ART AND DESIGN,27300.0,156.0,city_small,-1.2245611774230891,10.214678610538817
UNIVERSITY OF PENNSYLVANIA,78200.0,1092.0,city_large,2.9763196501412077,11.267037714175425
PHILADELPHIA UNIVERSITY,48700.0,624.0,city_large,0.5416244750302696,10.793454842740767
THE UNIVERSITY OF THE ARTS,31100.0,936.0,city_large,-0.9109394260528665,10.344995251991222
UNIVERSITY OF THE SCIENCES,85800.0,468.0,city_large,3.603563152881653,11.359785940419789
POINT PARK UNIVERSITY,37900.0,468.0,city_large,-0.34972155517983666,10.542732775946709
ROBERT MORRIS UNIVERSITY,44900.0,624.0,sub_large,0.228002723660047,10.712215345197256
ROSEMONT COLLEGE,45800.0,312.0,sub_large,0.3022815595108892,10.732061203925053
SAINT FRANCIS UNIVERSITY,46900.0,312.0,town_large,0.3930668033285852,10.75579427616868
SAINT JOSEPH'S UNIVERSITY,58500.0,312.0,city_large,1.3504384654061068,10.97679912709094
SAINT VINCENT COLLEGE,44200.0,468.0,sub_large,0.17023029577605864,10.69650269224425
UNIVERSITY OF SCRANTON,56000.0,936.0,city_small,1.144108365820434,10.933124826700707
SETON HILL UNIVERSITY,35600.0,468.0,sub_large,-0.5395452467986556,10.480129006333248
SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA,45200.0,624.0,town_large,0.25276233561032774,10.718874489469398
SLIPPERY ROCK UNIVERSITY OF PENNSYLVANIA,39000.0,785.0,town_mid,-0.2589363113621407,10.571342565808699
SUSQUEHANNA UNIVERSITY,50000.0,471.0,town_mid,0.6489161268148194,10.819798284210286
SWARTHMORE COLLEGE,49400.0,471.0,sub_large,0.599396902914258,10.807725945886109
TEMPLE UNIVERSITY,46500.0,471.0,city_large,0.36005398739487754,10.747229096720554
THIEL COLLEGE,37200.0,156.0,town_large,-0.407493983063825,10.524090921620362
THOMAS JEFFERSON UNIVERSITY,78000.0,312.0,city_large,2.959813242174354,11.264476926102367
URSINUS COLLEGE,51500.0,468.0,sub_large,0.772714186566223,10.849356503939038
VALLEY FORGE CHRISTIAN COLLEGE,28500.0,312.0,sub_large,-1.125522729621966,10.25769445336048
VILLANOVA UNIVERSITY,73700.0,624.0,sub_large,2.604925470886997,11.207771646606407
WASHINGTON & JEFFERSON COLLEGE,49900.0,468.0,sub_large,0.6406629228313925,10.817796321618971
WAYNESBURG UNIVERSITY,44700.0,468.0,town_mid,0.2114963156931932,10.707751151716078
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,46500.0,936.0,sub_large,0.36005398739487754,10.747229096720554
WESTMINSTER COLLEGE,44400.0,1248.0,town_large,0.18673670374291246,10.70101727068921
