schname,md_earn,num_search,locality,total_earning_sd,lg_md,earning_code
FISK UNIVERSITY,33800.0,468.0,city_large,-0.68810291850034,10.428245666832275,0
WELCH COLLEGE,31200.0,156.0,city_large,-0.9026862220694396,10.348205424565993,0
FREED-HARDEMAN UNIVERSITY,37000.0,780.0,town_mid,-0.4240003910306788,10.518700218288165,0
JOHNSON UNIVERSITY,29400.0,312.0,Rural_large,-1.051243893771124,10.288783966353765,0
KING UNIVERSITY,39700.0,468.0,city_small,-0.20116388347815228,10.589131655274922,0
SOUTH COLLEGE,22400.0,628.0,city_mid,-1.6289681726110077,10.016860879703811,0
LANE COLLEGE,25000.0,312.0,city_small,-1.414384869041908,10.12667110305036,0
LE MOYNE-OWEN COLLEGE,28300.0,156.0,city_large,-1.14202913758882,10.250652418696085,0
LEE UNIVERSITY,32400.0,468.0,city_small,-0.8036477742683167,10.385944565501662,0
LINCOLN MEMORIAL UNIVERSITY,37500.0,468.0,town_small,-0.3827343711135443,10.53212287826962,0
MARTIN METHODIST COLLEGE,29100.0,468.0,town_mid,-1.0760035057214048,10.278527816830314,0
MARYVILLE COLLEGE,36500.0,312.0,sub_large,-0.4652664109478134,10.505094936455558,0
MEMPHIS COLLEGE OF ART,26700.0,312.0,city_large,-1.2740804013236506,10.192456296870509,0
UNIVERSITY OF MEMPHIS,37000.0,780.0,city_large,-0.4240003910306788,10.518700218288165,0
VICTORY UNIVERSITY,39000.0,468.0,city_large,-0.2589363113621407,10.571342565808699,0
MIDDLE TENNESSEE STATE UNIVERSITY,36100.0,624.0,city_mid,-0.49827922688152104,10.494075844768336,0
MILLIGAN COLLEGE,36400.0,468.0,sub_mid,-0.4735196149312403,10.502351525774941,0
SOUTHERN ADVENTIST UNIVERSITY,38500.0,471.0,sub_large,-0.3002023312792752,10.55843949396453,0
TENNESSEE WESLEYAN COLLEGE,35300.0,471.0,town_mid,-0.5643048587489363,10.471666571132038,0
TENNESSEE STATE UNIVERSITY,35800.0,471.0,city_large,-0.5230388388318018,10.485731104959568,0
TENNESSEE TECHNOLOGICAL UNIVERSITY,37700.0,628.0,town_small,-0.3662279631466905,10.537441898283253,0
TENNESSEE TEMPLE UNIVERSITY,33300.0,471.0,city_mid,-0.7293689384174745,10.413342705547674,0
TREVECCA NAZARENE UNIVERSITY,39500.0,624.0,city_large,-0.2176702914450061,10.584081267024454,0
TUSCULUM COLLEGE,40000.0,468.0,town_mid,-0.17640427152787155,10.596659732783579,0
UNION UNIVERSITY,37400.0,468.0,city_small,-0.3909875750969712,10.529452721013085,0
ABILENE CHRISTIAN UNIVERSITY,40200.0,471.0,city_mid,-0.15989786356101773,10.601647149919609,0
ANGELO STATE UNIVERSITY,38000.0,471.0,city_small,-0.3414683511964098,10.545367754151743,0
ARLINGTON BAPTIST COLLEGE,34000.0,314.0,city_large,-0.6715965105334861,10.434145214930487,0
THE ART INSTITUTE OF HOUSTON,32900.0,314.0,city_large,-0.7623817543511822,10.401258331428318,0
EAST TEXAS BAPTIST UNIVERSITY,36700.0,624.0,town_mid,-0.4487600029809596,10.510559281627845,0
HARDIN-SIMMONS UNIVERSITY,38600.0,780.0,city_mid,-0.2919491272958483,10.5610334618531,0
HOWARD PAYNE UNIVERSITY,37300.0,468.0,town_small,-0.3992407790803981,10.526775414924009,0
HUSTON-TILLOTSON UNIVERSITY,30500.0,780.0,city_large,-0.960458649953428,10.32551474894327,0
JARVIS CHRISTIAN COLLEGE,25800.0,312.0,Rural_mid,-1.3483592371744928,10.158168529848494,0
LAMAR UNIVERSITY,38800.0,468.0,city_mid,-0.2754427193289945,10.566201298475118,0
LUBBOCK CHRISTIAN UNIVERSITY,36700.0,312.0,city_mid,-0.4487600029809596,10.510559281627845,0
MCMURRY UNIVERSITY,37200.0,468.0,city_mid,-0.407493983063825,10.524090921620362,0
MIDWESTERN STATE UNIVERSITY,38500.0,624.0,city_mid,-0.3002023312792752,10.55843949396453,0
OUR LADY OF THE LAKE UNIVERSITY,39200.0,624.0,city_large,-0.24242990339528683,10.576457535657255,0
THE UNIVERSITY OF TEXAS AT BROWNSVILLE,29400.0,628.0,city_mid,-1.051243893771124,10.288783966353765,0
PAUL QUINN COLLEGE,29500.0,468.0,city_large,-1.042990689787697,10.292179440058462,0
PRAIRIE VIEW A & M UNIVERSITY,33600.0,624.0,town_mid,-0.7046093264671938,10.422311107413181,0
SCHREINER UNIVERSITY,36700.0,312.0,town_small,-0.4487600029809596,10.510559281627845,0
SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,31600.0,785.0,sub_large,-0.869673406135732,10.360944044643913,0
STEPHEN F AUSTIN STATE UNIVERSITY,39700.0,785.0,Rural_large,-0.20116388347815228,10.589131655274922,0
SOUTHWESTERN ADVENTIST UNIVERSITY,37900.0,471.0,town_large,-0.34972155517983666,10.542732775946709,0
SUL ROSS STATE UNIVERSITY,38000.0,628.0,town_small,-0.3414683511964098,10.545367754151743,0
THE UNIVERSITY OF TEXAS AT EL PASO,39800.0,785.0,city_large,-0.19291067949472537,10.591647316585027,0
TEXAS COLLEGE,23300.0,314.0,city_small,-1.5546893367601655,10.056251557087757,0
TEXAS SOUTHERN UNIVERSITY,31300.0,785.0,city_large,-0.8944330180860127,10.351405324899678,0
TEXAS WESLEYAN UNIVERSITY,39500.0,471.0,city_large,-0.2176702914450061,10.584081267024454,0
WEST TEXAS A & M UNIVERSITY,40000.0,624.0,town_large,-0.17640427152787155,10.596659732783579,0
WILEY COLLEGE,28000.0,312.0,town_mid,-1.1667887495391007,10.239995502805316,0
SOUTHERN UTAH UNIVERSITY,37200.0,628.0,town_small,-0.407493983063825,10.524090921620362,0
BENNINGTON COLLEGE,26500.0,471.0,town_mid,-1.2905868092905044,10.184937747111391,0
BURLINGTON COLLEGE,28900.0,157.0,city_small,-1.0925099136882586,10.27163147557801,0
CASTLETON STATE COLLEGE,34600.0,628.0,town_mid,-0.6220772866329247,10.451637862362272,0
GODDARD COLLEGE,25800.0,312.0,Rural_mid,-1.3483592371744928,10.158168529848494,0
GREEN MOUNTAIN COLLEGE,30600.0,156.0,Rural_mid,-0.9522054459700011,10.328787967145063,0
JOHNSON STATE COLLEGE,32200.0,624.0,Rural_mid,-0.8201541822351706,10.379752786950895,0
LYNDON STATE COLLEGE,34100.0,468.0,town_small,-0.6633433065500592,10.43708198835482,0
MARLBORO COLLEGE,25900.0,156.0,Rural_mid,-1.340106033191066,10.16203685698089,0
COLLEGE OF ST JOSEPH,36900.0,471.0,town_small,-0.43225359501410576,10.515993929932415,0
SOUTHERN VERMONT COLLEGE,34800.0,471.0,Rural_large,-0.6055708786660708,10.457401400981889,0
EMORY & HENRY COLLEGE,39600.0,624.0,Rural_large,-0.2094170874615792,10.586609649448985,0
EASTERN MENNONITE UNIVERSITY,39500.0,468.0,city_small,-0.2176702914450061,10.584081267024454,0
FERRUM COLLEGE,36500.0,468.0,Rural_mid,-0.4652664109478134,10.505094936455558,0
HOLLINS UNIVERSITY,37000.0,468.0,sub_mid,-0.4240003910306788,10.518700218288165,0
LIBERTY UNIVERSITY,36300.0,468.0,city_small,-0.4817728189146672,10.499600568082863,0
MARY BALDWIN COLLEGE,36800.0,468.0,city_small,-0.44050679899753264,10.513280297700861,0
NORFOLK STATE UNIVERSITY,34400.0,780.0,city_mid,-0.6385836945997785,10.445840912706414,0
RANDOLPH COLLEGE,38700.0,156.0,city_small,-0.2836959233124214,10.563620718477313,0
SOUTHERN VIRGINIA UNIVERSITY,28800.0,471.0,town_mid,-1.1007631176716854,10.268165387743457,0
SWEET BRIAR COLLEGE,38600.0,471.0,sub_mid,-0.2919491272958483,10.5610334618531,0
THE UNIVERSITY OF VIRGINIA'S COLLEGE AT WISE,36500.0,312.0,town_mid,-0.4652664109478134,10.505094936455558,0
VIRGINIA INTERMONT COLLEGE,34000.0,312.0,city_small,-0.6715965105334861,10.434145214930487,0
VIRGINIA STATE UNIVERSITY,34400.0,780.0,sub_large,-0.6385836945997785,10.445840912706414,0
VIRGINIA UNION UNIVERSITY,31600.0,624.0,city_mid,-0.869673406135732,10.360944044643913,0
VIRGINIA WESLEYAN COLLEGE,38100.0,624.0,city_large,-0.33321514721298284,10.547995807489514,0
THE ART INSTITUTE OF SEATTLE,34100.0,157.0,city_large,-0.6633433065500592,10.43708198835482,0
CORNISH COLLEGE OF THE ARTS,29900.0,628.0,city_large,-1.0099778738539895,10.305647203635566,0
THE EVERGREEN STATE COLLEGE,31800.0,628.0,sub_mid,-0.8531669981688782,10.367253014814716,0
HERITAGE UNIVERSITY,33000.0,468.0,Rural_large,-0.7541285503677553,10.404293143019792,0
